AnonID,Query,QueryTime,ItemRank,"ClickURL
"
10798948,california marriages,3/7/06 23:22,10,"http://www.rootsweb.com
"
3673754,wwww.usps.com,5/26/06 14:01,,"
"
17280357,golden age card,3/27/06 11:50,3,"http://www.fs.fed.us
"
15462250,wwwcalexpo.com,5/12/06 17:14,,"
"
4616854,sguid abdfd2a9f0464977a1722afc3adcc9b9,4/4/06 12:42,,"
"
2714811,oln.com,5/10/06 22:38,2,"http://www.oln.com
"
7986446,port-au-prince,4/30/06 13:33,,"
"
2033819,kylie minogue pics,5/15/06 20:33,,"
"
3381794,lowndes county alabama emergency response,4/19/06 16:16,4,"http://hrrc.tamu.edu
"
525968,kaplan,3/15/06 10:54,2,"http://www.kaptest.com
"
10276862,jackass the movie,3/12/06 17:09,,"
"
11357556,los angeles california paratransit transportation program,5/20/06 15:28,4,"http://www.pasadenaseniorcenter.org
"
1677587,-,5/31/06 12:16,,"
"
2355493,bowers cave,5/30/06 00:38,1,"http://www.scvhistory.com
"
704306,google.com,3/26/06 21:46,1,"http://www.google.com
"
858172,dummy m-1 garand,5/18/06 20:53,2,"http://www.wwiiguns.com
"
5415945,waist cincher,3/15/06 16:16,2,"http://www.fredericks.com
"
7928391,toyota tacoma,5/16/06 05:32,,"
"
1099363,insert,3/31/06 16:41,,"
"
5593765,swedenrock festival 2006,4/28/06 13:54,2,"http://www.swedenrock.com
"
3482111,lee county school board,3/20/06 14:15,1,"http://www.lee.k12.fl.us
"
15561750,goo,4/18/06 17:10,,"
"
12774031,shigella,5/7/06 14:23,3,"http://ohioline.osu.edu
"
285225,free language translating sites,4/25/06 18:48,16,"http://www.cyndislist.com
"
4291618,red potato casserole,5/21/06 07:01,,"
"
10117554,http www.1eyed jacks.com,3/8/06 10:34,,"
"
1143187,map of sunnyside queens ny,5/27/06 18:12,1,"http://realestate.nytimes.com
"
11128315,white bumps in vaginal area after shaving,3/11/06 20:03,3,"http://www.hpvfaq.com
"
5014302,spanking central,5/31/06 21:05,1,"http://spankingcentral.com
"
1525540,skillet lasagna recipe,4/15/06 18:23,7,"http://www.cdkitchen.com
"
3454402,san patricios,3/16/06 15:16,4,"http://www.connemara.net
"
414991,woman clothing,3/16/06 23:47,15,"http://www.sierratradingpost.com
"
1185726,vegetable soup recipes,3/19/06 16:14,4,"http://soup.allrecipes.com
"
2692995,meningioma,3/21/06 23:50,,"
"
2536630,desktop weather,5/8/06 17:31,1,"http://www.weather.com
"
1581852,udba operativna akcija janjicar,3/25/06 09:39,,"
"
17163909,www.official trust fuding group.com,5/13/06 14:49,,"
"
8358063,pregnant galleries,3/9/06 14:40,,"
"
2592974,family guy porn,3/2/06 12:26,7,"http://www.20six.co.uk
"
4853651,elvis the ghetto,5/9/06 03:24,5,"http://www.angelfire.com
"
13512151,http www.groups.msn.com,3/31/06 09:56,,"
"
6566655,antique boat motors,5/27/06 14:27,,"
"
2977344,how much contacts cost,5/27/06 17:09,,"
"
1083941,ebay,4/18/06 10:15,1,"http://www.ebay.com
"
11266248,esmas.com,3/7/06 19:25,2,"http://www.esmas.com
"
1726419,-,5/31/06 15:53,4,"http://www.medicalnewstoday.com
"
13420736,pictures of amatuer pin up girls,3/13/06 10:39,,"
"
1386247,casting calls for baby phat models,3/16/06 10:58,1,"http://www.newfaces.com
"
723190,orange county jail inmate locator,4/3/06 18:53,1,"http://www.ocsd.org
"
13022906,form 990,4/17/06 10:32,13,"http://www.idealist.org
"
22351679,www.linkinpark.cm,4/27/06 21:10,,"
"
6733788,keota oldtimers days 2006,4/23/06 19:40,,"
"
9893367,camel toes,4/4/06 23:19,,"
"
16046267,california coast,3/26/06 17:36,,"
"
16091739,tattoos,4/1/06 22:20,,"
"
3162171,my bange me,3/18/06 01:09,,"
"
14749502,wlbt.com,5/14/06 10:24,1,"http://www.wlbt.com
"
2958073,free tarot readings,5/16/06 12:37,,"
"
12666762,gmail,4/11/06 17:26,1,"http://mail.google.com
"
14935220,numanumadance,4/30/06 16:40,,"
"
9884005,judy jakes ministries,4/20/06 12:50,,"
"
2709257,tree silhouettes,5/16/06 17:45,,"
"
11587535,church's banner,3/22/06 01:10,,"
"
6316394,silver sage thermogenics ephedrea,3/25/06 16:23,,"
"
16375066,the antisceptic baby and the prophylactic pup,3/19/06 23:26,,"
"
659658,ebay,3/3/06 13:57,,"
"
14510736,goldenrold paper,5/25/06 16:55,1,"http://www.toronto.ca
"
15019453,mp3 downloads,3/16/06 17:25,,"
"
21798416,www.dhmco.co,4/21/06 08:28,,"
"
5173325,the sims game,5/7/06 13:01,7,"http://en.wikipedia.org
"
17576664,unicare insurance nevada,4/30/06 02:24,,"
"
1700624,thunder valley casino,3/26/06 15:25,1,"http://www.thundervalleyresort.com
"
9826337,.aldappd em0046545503 pre-delivery alert summary page 3492date run 3 15 2006 chicopaton aol.com time 18 09this message is to alert you that the following package s is are duefor delivery by fedex,3/20/06 13:28,,"
"
1509790,erika elaniak,3/19/06 01:43,1,"http://www.allmovieportal.com
"
2289079,camping at big sycamore,5/2/06 15:47,17,"http://www.reserveamerica.com
"
7286779,north hennepin,5/19/06 09:17,1,"http://www.nhcc.edu
"
3314693,funeral,3/29/06 20:43,,"
"
5950572,christmasatthemall.com,3/6/06 18:34,7,"http://www.shopping.about2006.org
"
2438241,marylandballetyouth.vom,4/11/06 22:41,1,"http://www.marylandyouthballet.org
"
16325676,www.daysinhotel.com,3/19/06 19:43,,"
"
2558498,tulane hospital,5/6/06 21:03,3,"http://www2.tulane.edu
"
18731122,goolge,5/10/06 22:08,,"
"
4370739,singleme,3/2/06 18:11,,"
"
2223190,berkeley blood test,5/18/06 18:36,1,"http://www.lbl.gov
"
16563950,http party poker.com,4/3/06 19:54,,"
"
8320751,map guest,3/22/06 08:18,,"
"
3303628,rossi combo w 3 barrels 270 17hmr 50cal muz new,4/1/06 17:43,,"
"
3565060,suny sccc,5/23/06 15:59,,"
"
5935440,www.maxwellt0p100.com,3/21/06 15:03,,"
"
1545722,1973 katharine hepburn movie,3/3/06 09:07,,"
"
18859029,sharron,4/8/06 12:37,,"
"
18544420,underage girls nude,5/31/06 20:21,8,"http://www.soilrem.com
"
13416482,sturm ruger,4/2/06 00:17,,"
"
4075912,naked crucifixion,4/10/06 14:01,,"
"
11890412,xanga.com,3/10/06 19:28,2,"http://www.xanga.com
"
4927596,chuck norris jokes,3/24/06 15:54,1,"http://en.wikipedia.org
"
2327118,tyngsboro school,3/2/06 18:17,,"
"
12622450,rajashwini.com,5/14/06 14:24,,"
"
4999176,us postmaster moving,3/23/06 15:45,1,"http://www.usps.com
"
6185322,clarence and louise stout rochester ny,4/18/06 10:31,,"
"